;Tweets;label
0;Majelis Hakim Pengadilan Negeri Jakarta Selatan menolak nota keberatan atau eksepsi Ferdy Sambo atas dakwaan dugaanâ€¦ https://t.co/F0PBPQXcVe;1
1;Seorang pecinta sepak bola, Santiago Sanchez hilang di Iran. Ia dilaporkan menghilang dalam perjalanannya dari Madrâ€¦ https://t.co/CzuckjdE0V;0
2;Sepakat atau enggak dengan penilaian BEM UI yang bilang Joko Widodo-Ma'ruf Amin belum menunaikan janji-janji politiâ€¦ https://t.co/lFSftadoTd;1
3;Dalam melancarkan aksinya, sang peretas turut membubuhkan narasi mengenai dugaan pelecehan seksual yang terjadi diâ€¦ https://t.co/6OsBAdQjuq;0
4;Ketinggian air di banjir Jakarta Timur mencapai 50-80 sentimeter (cm). Banjir akibat luapan Kali Item dan Kali Ciliâ€¦ https://t.co/2Zl0E9pC0Y;0
5;"Serangan udara tersebut menewaskan 80 orang, termasuk penyanyi dan musisi.

https://t.co/Jk3v5S7iTz";0
6;Ia mengklarifikasi pernyataan kuasa hukum Brigadir J Kamaruddin Simanjuntak yang menyebut Putri Candrawathi ikut meâ€¦ https://t.co/QvtNoSaiPK;1
7;Hotman Paris Hutapea, Pengacara Irjen Teddy Minahasa, menyampaikan bahwa barang bukti narkoba jenis sabu-sabu sudahâ€¦ https://t.co/DacZgFJp9l;0
8;Kajari Serang Freddy D. Simandjuntak mengatakan penahanan dilakukan karena Nikita Mirzani dikhawatirkan melarikan dâ€¦ https://t.co/CVRhAFfxnp;0
9;"Geger Komisaris PT Pelni, Dede Budhyarto memplesetkan kata â€œKhilafahâ€ menjadi â€œKhilafuck.â€

https://t.co/DAKEgRiWUZ";0
10;"Juru Bicara Kementerian Perhubungan, Adita Irawati mengakui telah terjadi perkelahian antar taruna Kemenhub.

https://t.co/4o9LIYmqEq";1
11;Gita Puspita baru tahu namanya dicatut usai didatangi polisi dan TNI. Gita mengaku tak memiliki akun Facebook dan Iâ€¦ https://t.co/hT1Y22oys6;0
12;Kabar Santiago Shanchez tak terdengar sejak tiga pekan lalu. Laki-laki 41 tahun itu terakhir terlihat di Irak setelâ€¦ https://t.co/LxZiERCjZb;0
13;"Nikita Mirzani akan ditahan hingga 13 November 2022 di Rutan Kelas IIB Serang.

https://t.co/vryy18yfoF";0
14;"BNPT menyebut pelaku penerobos Istana, SE kerap mengunggah propaganda khilafah melalui akun media sosialnya.

https://t.co/uk7MGdcgTn";0
