;Unnamed: 0;Tweets;label;step01;tokens;final_tokens;step02
0;0.0;Majelis Hakim Pengadilan Negeri Jakarta Selatan menolak nota keberatan atau eksepsi Ferdy Sambo atas dakwaan dugaanâ€¦ https://t.co/F0PBPQXcVe;1.0;majelis hakim pengadilan negeri jakarta selatan menolak nota keberatan atau eksepsi ferdy sambo atas dakwaan dugaan cofpbpq;['majelis', 'hakim', 'pengadilan', 'negeri', 'jakarta', 'selatan', 'menolak', 'nota', 'keberatan', 'atau', 'eksepsi', 'ferdy', 'sambo', 'atas', 'dakwaan', 'dugaan', 'cofpbpq'];['majelis', 'hakim', 'pengadilan', 'negeri', 'jakarta', 'selatan', 'menolak', 'nota', 'keberatan', 'atau', 'eksepsi', 'ferdy', 'sambo', 'atas', 'dakwaan', 'dugaan', 'cofpbpq'];majelis hakim pengadilan negeri jakarta selatan menolak nota keberatan atau eksepsi ferdy sambo atas dakwaan dugaan cofpbpq
1;1.0;Seorang pecinta sepak bola, Santiago Sanchez hilang di Iran. Ia dilaporkan menghilang dalam perjalanannya dari Madrâ€¦ https://t.co/CzuckjdE0V;0.0;seorang pecinta sepak bola santiago sanchez hilang di iran ia dilaporkan menghilang dalam perjalanannya dari madr coczuckjdev;['seorang', 'pecinta', 'sepak', 'bola', 'santiago', 'sanchez', 'hilang', 'di', 'iran', 'ia', 'dilaporkan', 'menghilang', 'dalam', 'perjalanannya', 'dari', 'madr', 'coczuckjdev'];['seorang', 'pecinta', 'sepak', 'bola', 'santiago', 'sanchez', 'hilang', 'di', 'iran', 'ia', 'dilaporkan', 'menghilang', 'dalam', 'perjalanannya', 'dari', 'madr', 'coczuckjdev'];seorang pecinta sepak bola santiago sanchez hilang di iran ia dilaporkan menghilang dalam perjalanannya dari madr coczuckjdev
2;2.0;Sepakat atau enggak dengan penilaian BEM UI yang bilang Joko Widodo-Ma'ruf Amin belum menunaikan janji-janji politiâ€¦ https://t.co/lFSftadoTd;1.0;sepakat atau enggak dengan penilaian bem ui yang bilang joko widodo maruf amin belum menunaikan janji janji politi colfsftadotd;['sepakat', 'atau', 'enggak', 'dengan', 'penilaian', 'bem', 'ui', 'yang', 'bilang', 'joko', 'widodo', 'maruf', 'amin', 'belum', 'menunaikan', 'janji', 'janji', 'politi', 'colfsftadotd'];['sepakat', 'atau', 'enggak', 'dengan', 'penilaian', 'bem', 'ui', 'yang', 'bilang', 'joko', 'widodo', 'maruf', 'amin', 'belum', 'menunaikan', 'janji', 'janji', 'politi', 'colfsftadotd'];sepakat atau enggak dengan penilaian bem ui yang bilang joko widodo maruf amin belum menunaikan janji janji politi colfsftadotd
3;3.0;Dalam melancarkan aksinya, sang peretas turut membubuhkan narasi mengenai dugaan pelecehan seksual yang terjadi diâ€¦ https://t.co/6OsBAdQjuq;0.0;dalam melancarkan aksinya sang peretas turut membubuhkan narasi mengenai dugaan pelecehan seksual yang terjadi di coosbadqjuq;['dalam', 'melancarkan', 'aksinya', 'sang', 'peretas', 'turut', 'membubuhkan', 'narasi', 'mengenai', 'dugaan', 'pelecehan', 'seksual', 'yang', 'terjadi', 'di', 'coosbadqjuq'];['dalam', 'melancarkan', 'aksinya', 'sang', 'peretas', 'turut', 'membubuhkan', 'narasi', 'mengenai', 'dugaan', 'pelecehan', 'seksual', 'yang', 'terjadi', 'di', 'coosbadqjuq'];dalam melancarkan aksinya sang peretas turut membubuhkan narasi mengenai dugaan pelecehan seksual yang terjadi di coosbadqjuq
4;4.0;Ketinggian air di banjir Jakarta Timur mencapai 50-80 sentimeter (cm). Banjir akibat luapan Kali Item dan Kali Ciliâ€¦ https://t.co/2Zl0E9pC0Y;0.0;ketinggian air di banjir jakarta timur mencapai     sentimeter cm banjir akibat luapan kali item dan kali cili cozlepcy;['ketinggian', 'air', 'di', 'banjir', 'jakarta', 'timur', 'mencapai', 'sentimeter', 'cm', 'banjir', 'akibat', 'luapan', 'kali', 'item', 'dan', 'kali', 'cili', 'cozlepcy'];['ketinggian', 'air', 'di', 'banjir', 'jakarta', 'timur', 'mencapai', 'sentimeter', 'cm', 'banjir', 'akibat', 'luapan', 'kali', 'item', 'dan', 'kali', 'cili', 'cozlepcy'];ketinggian air di banjir jakarta timur mencapai sentimeter cm banjir akibat luapan kali item dan kali cili cozlepcy
5;5.0;"Serangan udara tersebut menewaskan 80 orang, termasuk penyanyi dan musisi.

https://t.co/Jk3v5S7iTz";0.0;serangan udara tersebut menewaskan   orang termasuk penyanyi dan musisi cojkvsitz;['serangan', 'udara', 'tersebut', 'menewaskan', 'orang', 'termasuk', 'penyanyi', 'dan', 'musisi', 'cojkvsitz'];['serangan', 'udara', 'tersebut', 'menewaskan', 'orang', 'termasuk', 'penyanyi', 'dan', 'musisi', 'cojkvsitz'];serangan udara tersebut menewaskan orang termasuk penyanyi dan musisi cojkvsitz
6;6.0;Ia mengklarifikasi pernyataan kuasa hukum Brigadir J Kamaruddin Simanjuntak yang menyebut Putri Candrawathi ikut meâ€¦ https://t.co/QvtNoSaiPK;1.0;ia mengklarifikasi pernyataan kuasa hukum brigadir kamaruddin simanjuntak yang menyebut putri candrawathi ikut me coqvtnosaipk;['ia', 'mengklarifikasi', 'pernyataan', 'kuasa', 'hukum', 'brigadir', 'kamaruddin', 'simanjuntak', 'yang', 'menyebut', 'putri', 'candrawathi', 'ikut', 'me', 'coqvtnosaipk'];['ia', 'mengklarifikasi', 'pernyataan', 'kuasa', 'hukum', 'brigadir', 'kamaruddin', 'simanjuntak', 'yang', 'menyebut', 'putri', 'candrawathi', 'ikut', 'me', 'coqvtnosaipk'];ia mengklarifikasi pernyataan kuasa hukum brigadir kamaruddin simanjuntak yang menyebut putri candrawathi ikut me coqvtnosaipk
7;7.0;Hotman Paris Hutapea, Pengacara Irjen Teddy Minahasa, menyampaikan bahwa barang bukti narkoba jenis sabu-sabu sudahâ€¦ https://t.co/DacZgFJp9l;0.0;hotman paris hutapea pengacara irjen teddy minahasa menyampaikan bahwa barang bukti narkoba jenis sabu sabu sudah codaczgfjpl;['hotman', 'paris', 'hutapea', 'pengacara', 'irjen', 'teddy', 'minahasa', 'menyampaikan', 'bahwa', 'barang', 'bukti', 'narkoba', 'jenis', 'sabu', 'sabu', 'sudah', 'codaczgfjpl'];['hotman', 'paris', 'hutapea', 'pengacara', 'irjen', 'teddy', 'minahasa', 'menyampaikan', 'bahwa', 'barang', 'bukti', 'narkoba', 'jenis', 'sabu', 'sabu', 'sudah', 'codaczgfjpl'];hotman paris hutapea pengacara irjen teddy minahasa menyampaikan bahwa barang bukti narkoba jenis sabu sabu sudah codaczgfjpl
8;8.0;Kajari Serang Freddy D. Simandjuntak mengatakan penahanan dilakukan karena Nikita Mirzani dikhawatirkan melarikan dâ€¦ https://t.co/CVRhAFfxnp;0.0;kajari serang freddy simandjuntak mengatakan penahanan dilakukan karena nikita mirzani dikhawatirkan melarikan cocvrhaff;['kajari', 'serang', 'freddy', 'simandjuntak', 'mengatakan', 'penahanan', 'dilakukan', 'karena', 'nikita', 'mirzani', 'dikhawatirkan', 'melarikan', 'cocvrhaff'];['kajari', 'serang', 'freddy', 'simandjuntak', 'mengatakan', 'penahanan', 'dilakukan', 'karena', 'nikita', 'mirzani', 'dikhawatirkan', 'melarikan', 'cocvrhaff'];kajari serang freddy simandjuntak mengatakan penahanan dilakukan karena nikita mirzani dikhawatirkan melarikan cocvrhaff
9;9.0;"Geger Komisaris PT Pelni, Dede Budhyarto memplesetkan kata â€œKhilafahâ€ menjadi â€œKhilafuck.â€

https://t.co/DAKEgRiWUZ";0.0;geger komisaris pt pelni dede budhyarto memplesetkan kata khilafah menjadi khilafuck codakegriwuz;['geger', 'komisaris', 'pt', 'pelni', 'dede', 'budhyarto', 'memplesetkan', 'kata', 'khilafah', 'menjadi', 'khilafuck', 'codakegriwuz'];['geger', 'komisaris', 'pt', 'pelni', 'dede', 'budhyarto', 'memplesetkan', 'kata', 'khilafah', 'menjadi', 'khilafuck', 'codakegriwuz'];geger komisaris pt pelni dede budhyarto memplesetkan kata khilafah menjadi khilafuck codakegriwuz
