;Unnamed: 0.1;Unnamed: 0;Tweets;step01;tokens;final_tokens;step02;finalText_str;ProcessedText
0;0;0.0;"Apabila kamu setiap hari konsumsi : 

-Gula lebih dari 50 gram
-Garam lebih dari 2.000 mg
-Lemak lebih dari 67 gram… https://t.co/MvyOkwsA6g";apabila kamu setiap hari konsumsi gula lebih dari   gram garam lebih dari     mg lemak lebih dari   gram comvyokwsag;['apabila', 'kamu', 'setiap', 'hari', 'konsumsi', 'gula', 'lebih', 'dari', 'gram', 'garam', 'lebih', 'dari', 'mg', 'lemak', 'lebih', 'dari', 'gram', 'comvyokwsag'];['apabila', 'kamu', 'setiap', 'hari', 'konsumsi', 'gula', 'lebih', 'dari', 'gram', 'garam', 'lebih', 'dari', 'mg', 'lemak', 'lebih', 'dari', 'gram', 'comvyokwsag'];apabila kamu setiap hari konsumsi gula lebih dari gram garam lebih dari mg lemak lebih dari gram comvyokwsag;apabila kamu setiap hari konsumsi gula lebih dari gram garam lebih dari mg lemak lebih dari gram comvyokwsag;apabila kamu hari konsumsi gula lebih gram garam lebih mg lemak lebih gram comvyokwsag
1;1;1.0;"Update Cakupan Vaksinasi COVID-19 di Indonesia (2/10)
 
#ayovaksin 
#SayaPilihSehat https://t.co/nbLTjuYyNl";update cakupan vaksinasi covid   di indonesia   conbltjuyynl;['update', 'cakupan', 'vaksinasi', 'covid', 'di', 'indonesia', 'conbltjuyynl'];['update', 'cakupan', 'vaksinasi', 'covid', 'di', 'indonesia', 'conbltjuyynl'];update cakupan vaksinasi covid di indonesia conbltjuyynl;update cakupan vaksinasi covid di indonesia conbltjuyynl;update cakup vaksinasi covid indonesia conbltjuyynl
2;2;2.0;"Duka cita mendalam atas kejadian yang menimpa pecinta sepak bola di Stadion Kanjuruhan, Malang 🥀

Teriring doa terb… https://t.co/r3fB5hr0vP";duka cita mendalam atas kejadian yang menimpa pecinta sepak bola di stadion kanjuruhan malang teriring doa terb corfbhrvp;['duka', 'cita', 'mendalam', 'atas', 'kejadian', 'yang', 'menimpa', 'pecinta', 'sepak', 'bola', 'di', 'stadion', 'kanjuruhan', 'malang', 'teriring', 'doa', 'terb', 'corfbhrvp'];['duka', 'cita', 'mendalam', 'atas', 'kejadian', 'yang', 'menimpa', 'pecinta', 'sepak', 'bola', 'di', 'stadion', 'kanjuruhan', 'malang', 'teriring', 'doa', 'terb', 'corfbhrvp'];duka cita mendalam atas kejadian yang menimpa pecinta sepak bola di stadion kanjuruhan malang teriring doa terb corfbhrvp;duka cita mendalam atas kejadian yang menimpa pecinta sepak bola di stadion kanjuruhan malang teriring doa terb corfbhrvp;duka cita dalam atas jadi timpa cinta sepak bola stadion kanjuruhan malang iring doa terb corfbhrvp
3;3;3.0;"Update Situasi Terkini Perkembangan #COVID19 di Indonesia (2/10)
 
#LawanCovid19 #jagajarak #dirumahaja… https://t.co/u4IFoi57DA";update situasi terkini perkembangan di indonesia   couifoida;['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'couifoida'];['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'couifoida'];update situasi terkini perkembangan di indonesia couifoida;update situasi terkini perkembangan di indonesia couifoida;update situasi kini kembang indonesia couifoida
4;4;4.0;"Update Cakupan Vaksinasi COVID-19 di Indonesia (1/10)
 
#ayovaksin 
#SayaPilihSehat https://t.co/ZcBTWUav9F";update cakupan vaksinasi covid   di indonesia   cozcbtwuavf;['update', 'cakupan', 'vaksinasi', 'covid', 'di', 'indonesia', 'cozcbtwuavf'];['update', 'cakupan', 'vaksinasi', 'covid', 'di', 'indonesia', 'cozcbtwuavf'];update cakupan vaksinasi covid di indonesia cozcbtwuavf;update cakupan vaksinasi covid di indonesia cozcbtwuavf;update cakup vaksinasi covid indonesia cozcbtwuavf
5;5;5.0;"#RilisSehat

Wujud Nyata Transformasi Layanan Rujukan, RSUP Dr. M. Djamil Padang Diperluas @KemenkesRI… https://t.co/EGpuLnk6zL";wujud nyata transformasi layanan rujukan rsup dr djamil padang diperluas kemenkesri coegpulnkzl;['wujud', 'nyata', 'transformasi', 'layanan', 'rujukan', 'rsup', 'dr', 'djamil', 'padang', 'diperluas', 'kemenkesri', 'coegpulnkzl'];['wujud', 'nyata', 'transformasi', 'layanan', 'rujukan', 'rsup', 'dr', 'djamil', 'padang', 'diperluas', 'kemenkesri', 'coegpulnkzl'];wujud nyata transformasi layanan rujukan rsup dr djamil padang diperluas kemenkesri coegpulnkzl;wujud nyata transformasi layanan rujukan rsup dr djamil padang diperluas kemenkesri coegpulnkzl;wujud nyata transformasi layan rujuk rsup dr djamil padang luas kemenkesri coegpulnkzl
6;6;6.0;"Dalam satu hari, berapa banyak garam yang kamu konsumsi #Healthies?

Jika lebih dari 2000 mg natrium atau 1 sendok… https://t.co/GST1SApQwX";dalam satu hari berapa banyak garam yang kamu konsumsi jika lebih dari   mg natrium atau   sendok cogstsapqwx;['dalam', 'satu', 'hari', 'berapa', 'banyak', 'garam', 'yang', 'kamu', 'konsumsi', 'jika', 'lebih', 'dari', 'mg', 'natrium', 'atau', 'sendok', 'cogstsapqwx'];['dalam', 'satu', 'hari', 'berapa', 'banyak', 'garam', 'yang', 'kamu', 'konsumsi', 'jika', 'lebih', 'dari', 'mg', 'natrium', 'atau', 'sendok', 'cogstsapqwx'];dalam satu hari berapa banyak garam yang kamu konsumsi jika lebih dari mg natrium atau sendok cogstsapqwx;dalam satu hari berapa banyak garam yang kamu konsumsi jika lebih dari mg natrium atau sendok cogstsapqwx;satu hari berapa banyak garam kamu konsumsi lebih mg natrium sendok cogstsapqwx
7;7;7.0;"Update Situasi Terkini Perkembangan #COVID19 di Indonesia (1/10)
 
#LawanCovid19 #jagajarak #dirumahaja… https://t.co/LFJ2Z1Hi8n";update situasi terkini perkembangan di indonesia   colfjzhin;['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'colfjzhin'];['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'colfjzhin'];update situasi terkini perkembangan di indonesia colfjzhin;update situasi terkini perkembangan di indonesia colfjzhin;update situasi kini kembang indonesia colfjzhin
8;8;8.0;"Selamat Hari Kesaktian Pancasila 

Pancasila memiliki nilai-nilai persatuan dan kemanusiaan yang menjadi semangat k… https://t.co/NIsiKTaNxQ";selamat hari kesaktian pancasila pancasila memiliki nilai nilai persatuan dan kemanusiaan yang menjadi semangat conisiktan;['selamat', 'hari', 'kesaktian', 'pancasila', 'pancasila', 'memiliki', 'nilai', 'nilai', 'persatuan', 'dan', 'kemanusiaan', 'yang', 'menjadi', 'semangat', 'conisiktan'];['selamat', 'hari', 'kesaktian', 'pancasila', 'pancasila', 'memiliki', 'nilai', 'nilai', 'persatuan', 'dan', 'kemanusiaan', 'yang', 'menjadi', 'semangat', 'conisiktan'];selamat hari kesaktian pancasila pancasila memiliki nilai nilai persatuan dan kemanusiaan yang menjadi semangat conisiktan;selamat hari kesaktian pancasila pancasila memiliki nilai nilai persatuan dan kemanusiaan yang menjadi semangat conisiktan;selamat hari sakti pancasila pancasila milik nilai nilai satu manusia jadi semangat conisiktan
9;9;9.0;"#RilisSehat

Kini Check In PeduliLindungi Bisa Lewat Website @KemenkesRI 

https://t.co/krfmq3jAtx https://t.co/dCp0oxVGEO";kini check in pedulilindungi bisa lewat website kemenkesri cokrfmqjatx codcpo;['kini', 'check', 'in', 'pedulilindungi', 'bisa', 'lewat', 'website', 'kemenkesri', 'cokrfmqjatx', 'codcpo'];['kini', 'check', 'in', 'pedulilindungi', 'bisa', 'lewat', 'website', 'kemenkesri', 'cokrfmqjatx', 'codcpo'];kini check in pedulilindungi bisa lewat website kemenkesri cokrfmqjatx codcpo;kini check in pedulilindungi bisa lewat website kemenkesri cokrfmqjatx codcpo;kini check in pedulilindungi lewat website kemenkesri cokrfmqjatx codcpo
